"p1","p2","days","inst1_1","inst1_2","inst2_1","inst2_2","inst3_1","inst3_2","inst4_1","inst4_2","inst5_1","inst5_2"
"{a0} create {a1}","{a0} welcome {a1}","20-22","<font color='#d95f02'>sesame street</font> created <font color='#7570b3'>julia</font>","<font color='#d95f02'>autism juliamuppet sesame street</font> welcomes <font color='#7570b3'>julia</font>","<font color='#d95f02'>sesame street</font> created <font color='#7570b3'>a new muppet</font>","<font color='#d95f02'>sesame street</font> welcomes <font color='#7570b3'>muppet</font>","<font color='#d95f02'>sesame street</font> created <font color='#7570b3'>a new muppet</font>","<font color='#d95f02'>sesame street</font> welcomes <font color='#7570b3'>muppet</font>","<font color='#d95f02'>cool sesame street</font> welcomes <font color='#7570b3'>julia</font>","<font color='#d95f02'>sesame street</font> created <font color='#7570b3'>julia</font>","<font color='#d95f02'>sesame street</font> created <font color='#7570b3'>julia</font>","<font color='#d95f02'>sesamestreet</font> welcoming <font color='#7570b3'>julia</font>"
"{a0} roll back {a1}","{a0} roll {a1}","19","<font color='#d95f02'>trump administration</font> rolls <font color='#7570b3'>protections</font>","<font color='#d95f02'>de assholeo trump administration</font> rolls back <font color='#7570b3'>protections</font>","<font color='#d95f02'>the feds</font> rolled back <font color='#7570b3'>a rule</font>","<font color='#d95f02'>the feds</font> rolled <font color='#7570b3'>rule</font>","<font color='#d95f02'>trump administration</font> rolls back <font color='#7570b3'>protections</font>","<font color='#d95f02'>trump administration</font> rolls <font color='#7570b3'>protections</font>","<font color='#d95f02'>drumpf administration</font> rolls back <font color='#7570b3'>protections</font>","<font color='#d95f02'>trump administration</font> rolls <font color='#7570b3'>protections</font>","<font color='#d95f02'>trump administration</font> rolls back <font color='#7570b3'>protections</font>","<font color='#d95f02'>trump administration</font> rolls <font color='#7570b3'>back protections</font>"
"{a0} boot {a1}","{a0} kick {a1}","18-20","<font color='#d95f02'>trump</font> booted <font color='#7570b3'>one direction</font>","<font color='#d95f02'>trump</font> kicked <font color='#7570b3'>one direction</font>","<font color='#d95f02'>trump</font> booted <font color='#7570b3'>one direction</font>","<font color='#d95f02'>donald trump</font> kicked <font color='#7570b3'>one direction</font>","<font color='#d95f02'>trump</font> kicked <font color='#7570b3'>one direction</font>","<font color='#d95f02'>trump</font> booted <font color='#7570b3'>one direction</font>","<font color='#d95f02'>trump</font> kicked <font color='#7570b3'>one direction</font>","<font color='#d95f02'>trump</font> booted <font color='#7570b3'>onedirection</font>","<font color='#d95f02'>tump</font> kicked <font color='#7570b3'>one direction</font>","<font color='#d95f02'>trump</font> booted <font color='#7570b3'>one direction</font>"
"{a0} welcome {a1}","{a0} will meet with {a1}","18","<font color='#d95f02'>trump</font> welcomes <font color='#7570b3'>chancellor</font>","<font color='#d95f02'>trump</font> will meet with <font color='#7570b3'>german chancellor angela merkel</font>","<font color='#d95f02'>trump</font> welcomes <font color='#7570b3'>german chancellor angela merkel</font>","<font color='#d95f02'>trump</font> will meet with <font color='#7570b3'>german chancellor merkel</font>","<font color='#d95f02'>trump</font> will meet with <font color='#7570b3'>german chancellor merkel</font>","<font color='#d95f02'>trump</font> welcomes <font color='#7570b3'>german chancellor angela merkel</font>","<font color='#d95f02'>trump</font> welcomes <font color='#7570b3'>german chancellor</font>","<font color='#d95f02'>trump</font> will meet with <font color='#7570b3'>german chancellor angela merkel</font>","<font color='#d95f02'>trump</font> welcomes <font color='#7570b3'>german chancellor</font>","<font color='#d95f02'>trump</font> will meet with <font color='#7570b3'>german chancellor merkel</font>"
"{a0} welcome {a1}","{a1} ask {a0}","19","<font color='#d95f02'>trump</font> welcomes <font color='#7570b3'>merkel</font>","<font color='#7570b3'>merkel</font> asked <font color='#d95f02'>president trump</font>","<font color='#d95f02'>president donald trump</font> welcomes <font color='#7570b3'>german chancellor angela merkel</font>","<font color='#7570b3'>merkel</font> asked <font color='#d95f02'>president realdonaldtrump</font>","<font color='#d95f02'>president trump</font> welcomes <font color='#7570b3'>angela merkel</font>","<font color='#7570b3'>angelamerkel</font> asked <font color='#d95f02'>president trump</font>","<font color='#d95f02'>trump</font> welcomes <font color='#7570b3'>german chancellor angela merkel</font>","<font color='#7570b3'>merkel</font> asks <font color='#d95f02'>trump</font>","<font color='#d95f02'>trump</font> welcomes <font color='#7570b3'>merkel</font>","<font color='#7570b3'>merkel</font> asked <font color='#d95f02'>president trump</font>"
"{a0} have introduce {a1}","{a0} welcome {a1}","21","<font color='#d95f02'>it sesame street</font> welcomes <font color='#7570b3'>julia</font>","<font color='#d95f02'>sesame street</font> has introduced <font color='#7570b3'>julia</font>","<font color='#d95f02'>bbcnews - sesame street</font> welcomes <font color='#7570b3'>julia</font>","<font color='#d95f02'>sesame street</font> has introduced <font color='#7570b3'>julia</font>","<font color='#d95f02'>sesamestreet</font> welcomes <font color='#7570b3'>julia</font>","<font color='#d95f02'>sesame street</font> has introduced <font color='#7570b3'>julia</font>","<font color='#d95f02'>sesame street</font> has introduced <font color='#7570b3'>julia</font>","<font color='#d95f02'>news - sesame street</font> welcomes <font color='#7570b3'>julia</font>","<font color='#d95f02'>sesamestreet</font> have introduced <font color='#7570b3'>muppet</font>","<font color='#d95f02'>seasme street</font> welcomes <font color='#7570b3'>its first ever autistic muppet julia</font>"
"{a0} block {a1}","{a0} trump {a1}","16","<font color='#d95f02'>judge</font> blocked <font color='#7570b3'>trump's latest travel ban</font>","<font color='#d95f02'>judge</font> trump <font color='#7570b3'>travel ban</font>","<font color='#d95f02'>judge</font> blocked <font color='#7570b3'>travel ban cnnpolitics</font>","<font color='#d95f02'>judge</font> trump <font color='#7570b3'>travel ban</font>","<font color='#d95f02'>judge</font> blocked <font color='#7570b3'>the latest travel ban ht</font>","<font color='#d95f02'>judge</font> trump <font color='#7570b3'>travel ban</font>","<font color='#d95f02'>judge</font> trump <font color='#7570b3'>travel ban</font>","<font color='#d95f02'>judge</font> blocked <font color='#7570b3'>travel ban</font>","<font color='#d95f02'>judge</font> blocked <font color='#7570b3'>travel ban</font>","<font color='#d95f02'>judge</font> trump <font color='#7570b3'>travel ban</font>"
"{a0} arrest on {a1}","{a0} hit with {a1}","16-17","<font color='#d95f02'>oklahoma lawmaker</font> hit with <font color='#7570b3'>childprostitution charges</font>","<font color='#d95f02'>gop oklahoma lawmaker</font> arrested on <font color='#7570b3'>child prostitution charges</font>","<font color='#d95f02'>oklahoma lawmaker</font> arrested on <font color='#7570b3'>child prostitution charges</font>","<font color='#d95f02'>republican oklahoma lawmaker</font> hit with <font color='#7570b3'>child prostitution charges</font>","<font color='#d95f02'>oklahoma lawmaker</font> arrested on <font color='#7570b3'>child prostitution charges</font>","<font color='#d95f02'>gop oklahoma lawmaker</font> hit with <font color='#7570b3'>child prostitution charges</font>","<font color='#d95f02'>oklahoma lawmaker</font> hit with <font color='#7570b3'>a child prostitution charge</font>","<font color='#d95f02'>gop oklahoma lawmaker</font> arrested on <font color='#7570b3'>child prostitution charges</font>","<font color='#d95f02'>oklahoma lawmaker</font> hit with <font color='#7570b3'>child prostitution charges</font>","<font color='#d95f02'>oklahoma lawmaker</font> arrested on <font color='#7570b3'>child prostitution charges</font>"
"{a0} discover {a1}","{a0} find {a1}","22","<font color='#d95f02'>teenager</font> discovers <font color='#7570b3'>7.44 carat diamond</font>","<font color='#d95f02'>teen</font> finds <font color='#7570b3'>7.44 carat diamond</font>","<font color='#d95f02'>pastor</font> discovers <font color='#7570b3'>massive 706-carat uncut diamond</font>","<font color='#d95f02'>pastor</font> finds <font color='#7570b3'>massive 706-carat diamond</font>","<font color='#d95f02'>greek police</font> discover <font color='#7570b3'>eight parcel bombs</font>","<font color='#d95f02'>police</font> find <font color='#7570b3'>8 parcel bombs</font>","<font color='#d95f02'>sierra leone pastor</font> discovers <font color='#7570b3'>706-carat diamond - freetown</font>","<font color='#d95f02'>bbc sierra leone pastor</font> finds <font color='#7570b3'>diamond</font>","<font color='#d95f02'>sierra leone pastor</font> discovers <font color='#7570b3'>706-carat diamond</font>","<font color='#d95f02'>pastor</font> finds <font color='#7570b3'>706-carat diamond</font>"
"{a0} meet with {a1}","{a0} welcome {a1}","17","<font color='#d95f02'>trump</font> welcomes <font color='#7570b3'>german chancellor angelamerkel</font>","<font color='#d95f02'>trump</font> meets with <font color='#7570b3'>german chancellor</font>","<font color='#d95f02'>trump</font> meets with <font color='#7570b3'>german chancellor</font>","<font color='#d95f02'>trump</font> welcomes <font color='#7570b3'>chancellor</font>","<font color='#d95f02'>the 45th trump</font> welcomes <font color='#7570b3'>merkel</font>","<font color='#d95f02'>trump</font> meets with <font color='#7570b3'>merkel</font>","<font color='#d95f02'>trump</font> meets with <font color='#7570b3'>german chancellor</font>","<font color='#d95f02'>trump</font> welcomes <font color='#7570b3'>german chancellor angela merkel</font>","<font color='#d95f02'>president trump</font> welcomed <font color='#7570b3'>iraq's prime minister</font>","<font color='#d95f02'>trump</font> meets with <font color='#7570b3'>iraq's prime minister</font>"
